year,geo_name,geo,income
2013,"Kendall County","05000US48259",73410.0
2013,"Kenedy County","05000US48261",43438.0
2013,"Kent County","05000US48263",46875.0
2013,"Kerr County","05000US48265",43601.0
2013,"Kimble County","05000US48267",43424.0
2013,"King County","05000US48269",65000.0
2013,"Kinney County","05000US48271",33257.0
2013,"Kleberg County","05000US48273",40566.0
2013,"Knox County","05000US48275",34295.0
2013,"Lamar County","05000US48277",40104.0
2013,"Lamb County","05000US48279",36727.0
2013,"Lampasas County","05000US48281",49277.0
2013,"La Salle County","05000US48283",26756.0
2013,"Lavaca County","05000US48285",44149.0
2013,"Lee County","05000US48287",51534.0
2013,"Leon County","05000US48289",44452.0
2013,"Liberty County","05000US48291",47228.0
2013,"Limestone County","05000US48293",38823.0
2013,"Lipscomb County","05000US48295",57978.0
2013,"Live Oak County","05000US48297",42829.0
2013,"Llano County","05000US48299",44094.0
2013,"Loving County","05000US48301",68750.0
2013,"Lubbock County, TX","05000US48303",44397.0
2013,"Lynn County","05000US48305",44375.0
2013,"McCulloch County","05000US48307",39194.0
2013,"McLennan County, TX","05000US48309",41922.0
2013,"McMullen County","05000US48311",39500.0
2013,"Madison County","05000US48313",41732.0
2013,"Marion County","05000US48315",31967.0
2013,"Martin County","05000US48317",42607.0
2013,"Mason County","05000US48319",46865.0
2013,"Matagorda County","05000US48321",43096.0
2013,"Maverick County","05000US48323",31395.0
2013,"Medina County","05000US48325",55326.0
2013,"Menard County","05000US48327",31215.0
2013,"Midland County, TX","05000US48329",62993.0
2013,"Milam County","05000US48331",37391.0
2013,"Mills County","05000US48333",44213.0
2013,"Mitchell County","05000US48335",42045.0
2013,"Montague County","05000US48337",44231.0
2013,"Montgomery County, TX","05000US48339",67766.0
2013,"Moore County","05000US48341",51181.0
2013,"Morris County","05000US48343",37849.0
2013,"Motley County","05000US48345",35845.0
2013,"Nacogdoches County","05000US48347",36777.0
2013,"Navarro County","05000US48349",40795.0
2013,"Newton County","05000US48351",37246.0
2013,"Nolan County","05000US48353",36806.0
2013,"Nueces County, TX","05000US48355",47057.0
2013,"Ochiltree County","05000US48357",49964.0
2013,"Oldham County","05000US48359",48929.0
2013,"Orange County","05000US48361",49507.0
2013,"Palo Pinto County","05000US48363",41670.0
2013,"Panola County","05000US48365",52453.0
2013,"Parker County, TX","05000US48367",64515.0
2013,"Parmer County","05000US48369",44943.0
2013,"Pecos County","05000US48371",47019.0
2013,"Polk County","05000US48373",37855.0
2013,"Potter County, TX","05000US48375",37951.0
2013,"Presidio County","05000US48377",29634.0
2013,"Rains County","05000US48379",44478.0
2013,"Randall County, TX","05000US48381",58529.0
2013,"Reagan County","05000US48383",61250.0
2013,"Real County","05000US48385",33885.0
2013,"Red River County","05000US48387",31712.0
2013,"Reeves County","05000US48389",40571.0
2013,"Refugio County","05000US48391",44548.0
2013,"Roberts County","05000US48393",67321.0
2013,"Robertson County","05000US48395",40601.0
2013,"Rockwall County","05000US48397",86119.0
2013,"Runnels County","05000US48399",37667.0
2013,"Rusk County","05000US48401",45752.0
2013,"Sabine County","05000US48403",32963.0
2013,"San Augustine County","05000US48405",28390.0
